stjärtfena|bakdel|fisk|ryggkota|blåval|ändelse|0
odynamisk|långsam|krypande|statisk|rörlig|stopp|2
stödjare|klippa|vägg|kamrat|hjälpare|vän|3
nuläge|snart|tid|nu|idag|tillstånd|4
framgå|snart|exempel|nu|medföra|tillstånd|3
backning|motsatt|tillbaka|igår|stöd|tillbaka|3
cykelbud|cykel|springpojke|sändare|arbetare|extrajobb|1
motivation|självkänsla|springpojke|sändare|arbetare|extrajobb|0
hämnd|revansch|våld|tillfälle|arbetare|extrajobb|0
envis|grinig|enträgen|jobbig|virrig|tråkig|1
militär|revansch|våld|krigare|arbetare|extrajobb|2
